36024_at,lacrimal proline rich protein
36398_at,Cluster Incl W28729:50h2 Homo sapiens cDNA /gb=W28729 /gi=1308677 /ug=Hs.163863 /len=783
32389_at,Cluster Incl W25892:17b9 Homo sapiens cDNA /gb=W25892 /gi=1306222 /ug=Hs.231660 /len=715
1736_at,insulin-like growth factor binding protein 6
1069_at,prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)
40767_at,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
32837_at,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)"
33819_at,lactate dehydrogenase B
38326_at,putative lymphocyte G0/G1 switch gene
34376_at,"protein kinase (cAMP-dependent, catalytic) inhibitor gamma"
1020_s_at,calcium and integrin binding protein (DNA-dependent protein kinase interacting protein)
33920_at,"diaphanous (Drosophila, homolog) 1"
34740_at,forkhead box O3A
38674_at," Cluster Incl AA115140:zl10d12.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-501527 /clone_end=5'' /gb=AA115140 /gi=1670564 /ug=Hs.106283 /len=616'' "
34720_at,nuclear factor I/B
39545_at,"cyclin-dependent kinase inhibitor 1C (p57, Kip2)"
41387_r_at,KIAA0346 protein
806_at,cytokine-inducible kinase
40109_at,serum response factor (c-fos serum response element-binding transcription factor)
1389_at,"membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase, CALLA, CD10)"
37272_at,"inositol 1,4,5-trisphosphate 3-kinase B"
40155_at,actin binding LIM protein 1
35178_at,Cluster Incl W27944:39g8 Homo sapiens cDNA /gb=W27944 /gi=1307892 /ug=Hs.26471 /len=837
38642_at,activated leucocyte cell adhesion molecule
41140_at,interferon gamma receptor 2 (interferon gamma transducer 1)
33228_g_at," Cluster Incl AI984234:wz57e04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2562174 /clone_end=3'' /gb=AI984234 /gi=5811453 /ug=Hs.173936 /len=594'' "
38778_at,KIAA1046 protein
1138_at,"solute carrier family 20 (phosphate transporter), member 1"
672_at," J03764 /FEATURE=cds /DEFINITION=HUMPAIA Human, plasminogen activator inhibitor-1 gene, exons 2 to 9 "
38125_at,"serine (or cysteine) proteinase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1"
37823_at," Cluster Incl Y16645:Homo sapiens mRNA for monocyte chemotactic protein-2 /cds=(472,771) /gb=Y16645 /gi=2916795 /ug=Hs.129202 /len=1266 "
1016_s_at,"interleukin 13 receptor, alpha 2"
37366_at,Cluster Incl AL049969:Homo sapiens mRNA; cDNA DKFZp564A072 (from clone DKFZp564A072) /cds=UNKNOWN /gb=AL049969 /gi=4884218 /ug=Hs.7780 /len=2460
40060_r_at,LIM protein (similar to rat protein kinase C-binding enigma)
37120_at,transketolase-like 1
36641_at,"capping protein (actin filament) muscle Z-line, alpha 2"
38797_at,KIAA0062 protein
40684_at,GTP cyclohydrolase I feedback regulatory protein
960_g_at,Guanine Nucleotide-Binding Protein G25k
39908_at,PCAF associated factor 65 alpha
39455_r_at,homeo box 11-like 1
40777_at,"catenin (cadherin-associated protein), beta 1 (88kD)"
110_at,chondroitin sulfate proteoglycan 4 (melanoma-associated)
847_at,eukaryotic translation initiation factor 5A
33727_r_at,DKFZP434C013 protein
34774_at,"palmitoyl-protein thioesterase 1 (ceroid-lipofuscinosis, neuronal 1, infantile)"
935_at,adenylyl cyclase-associated protein
1490_at,"v-myc avian myelocytomatosis viral oncogene homolog 1, lung carcinoma derived"
40466_at,"nuclear transcription factor Y, gamma"
882_at,colony stimulating factor 1 (macrophage)
39208_i_at,"pro-platelet basic protein (includes platelet basic protein, beta-thromboglobulin, connective tissue-activating peptide III, neutrophil-activating peptide-2)"
41351_at," Cluster Incl AA885106:am31h01.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1468465 /clone_end=3'' /gb=AA885106 /gi=2995087 /ug=Hs.25459 /len=627'' "
40951_at,Cluster Incl AL049250:Homo sapiens mRNA; cDNA DKFZp564D113 (from clone DKFZp564D113) /cds=UNKNOWN /gb=AL049250 /gi=4499989 /ug=Hs.194637 /len=2481
38253_at,"amylo-1,6-glucosidase, 4-alpha-glucanotransferase (glycogen debranching enzyme, glycogen storage disease type III)"
33308_at,"glucuronidase, beta"
34830_at,Cluster Incl W25986:17e7 Homo sapiens cDNA /gb=W25986 /gi=1306253 /ug=Hs.4750 /len=769
39169_at,Sec61 gamma
37208_at,phosphoserine phosphatase-like
37209_g_at,phosphoserine phosphatase-like
36736_f_at,phosphoserine phosphatase
1537_at,epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog)
37327_at,epidermal growth factor receptor (avian erythroblastic leukemia viral (v-erb-b) oncogene homolog)
38416_at,"chaperonin containing TCP1, subunit 6A (zeta 1)"
39793_at,glioblastoma amplified sequence
33452_at,"plasminogen activator, tissue"
38472_at,KIAA0143 protein
41134_at,KIAA0964 protein
222_at,exostoses (multiple) 1
33905_at,methyl-CpG binding domain protein 2
1565_s_at,growth factor receptor-bound protein 2
37395_at,"ATPase, vacuolar, 14 kD"
33134_at,adenylate cyclase 3
35733_at,"ARP2 (actin-related protein 2, yeast) homolog"
35992_at,musculin (activated B-cell factor-1)
39177_r_at,carboxyl ester lipase (bile salt-stimulated lipase)
39176_f_at,carboxyl ester lipase (bile salt-stimulated lipase)
36881_at,"electron-transfer-flavoprotein, beta polypeptide"
32800_at,"retinoid X receptor, alpha"
1006_at,matrix metalloproteinase 10 (stromelysin 2)
37909_at,"laminin, alpha 3 (nicein (150kD), kalinin (165kD), BM600 (150kD), epilegrin)"
39720_g_at,zona pellucida glycoprotein 3A (sperm receptor)
34776_at,Cluster Incl W27541:32c12 Homo sapiens cDNA /gb=W27541 /gi=1307345 /ug=Hs.3903 /len=982
36102_at,voltage-dependent anion channel 3
840_at,zinc finger protein 220
1499_at,"farnesyltransferase, CAAX box, alpha"
31801_at," Cluster Incl AI808712:wf57c05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2359688 /clone_end=3'' /gb=AI808712 /gi=5395278 /ug=Hs.140945 /len=536'' "
31800_at,Cluster Incl AL050136:Homo sapiens mRNA; cDNA DKFZp586L141 (from clone DKFZp586L141) /cds=UNKNOWN /gb=AL050136 /gi=4884346 /ug=Hs.140945 /len=3473
41104_at,"small inducible cytokine B subfamily (Cys-X-Cys motif), member 13 (B-cell chemoattractant)"
35883_at,Spi-B transcription factor (Spi-1/PU.1 related)
33899_at,"aldehyde dehydrogenase 9 (gamma-aminobutyraldehyde dehydrogenase, E3 isozyme)"
40792_s_at,triple functional domain (PTPRF interacting)
38272_at,MKP-1 like protein tyrosine phosphatase
32117_at,Cluster Incl U51698:HSU51698 Homo sapiens cDNA /gb=U51698 /gi=1255268 /ug=Hs.16178 /len=800
38545_at,"inhibin, beta B (activin AB beta polypeptide)"
36288_at,"keratin, hair, basic, 1"
33611_g_at,Cluster Incl AL049977:Homo sapiens mRNA; cDNA DKFZp564C122 (from clone DKFZp564C122) /cds=UNKNOWN /gb=AL049977 /gi=4884227 /ug=Hs.162209 /len=1071
430_at,nucleoside phosphorylase
2025_s_at," M80261 /FEATURE= /DEFINITION=HUMAPE Human apurinic endonuclease (APE) mRNA, complete cds "
571_at,nucleosome assembly protein 1-like 1
34099_f_at,Cluster Incl W26056:18e1 Homo sapiens cDNA /gb=W26056 /gi=1306323 /ug=Hs.209693 /len=717
40164_at,Rho GDP dissociation inhibitor (GDI) alpha
34160_at,"actin, gamma 1"
40444_s_at," Cluster Incl AB002382:Human mRNA for KIAA0384 gene, complete cds /cds=(465,3284) /gb=AB002382 /gi=2224708 /ug=Hs.166011 /len=5423 "
41235_at,hypothetical protein
41175_at,"core-binding factor, beta subunit"
34677_f_at," Cluster Incl AJ012755:Homo sapiens mRNA for TL132 /cds=(1241,2305) /gb=AJ012755 /gi=4128038 /ug=Hs.234573 /len=4328 "
31526_f_at,ubiquitin specific protease 6 (Tre-2 oncogene)
39044_s_at,"diacylglycerol kinase, delta (130kD)"
40091_at,B-cell CLL/lymphoma 6 (zinc finger protein 51)
41179_at,KIAA1100 protein
1151_at,Epstein-Barr Virus Small Rna-Associated Protein
33451_s_at," Cluster Incl AI526079:DU3.2-7.G09 Homo sapiens cDNA, 3 end /clone_end=3'' /gb=AI526079 /gi=4440197 /ug=Hs.234060 /len=801'' "
41767_r_at,golgin-67
40877_s_at," Cluster Incl AF041080:Homo sapiens D15F37 pseudogene, S3 allele, mRNA sequence /cds=UNKNOWN /gb=AF041080 /gi=3660662 /ug=Hs.174087 /len=6052 "
34987_s_at,heterogeneous nuclear ribonucleoprotein A1
38437_at,MLN51 protein
37035_at," Cluster Incl AI557272:PT2.1_15_G02.r Homo sapiens cDNA, 3 end /clone_end=3'' /gb=AI557272 /gi=4489635 /ug=Hs.76698 /len=836'' "
32092_at,KIAA0468 gene product
39649_at,Rho GTPase activating protein 4
41741_at,RNA binding motif protein 3
33821_at,homolog of yeast long chain polyunsaturated fatty acid elongation enzyme 2
39856_at," Cluster Incl AI708983:at02f03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2353949 /clone_end=3'' /gb=AI708983 /gi=4998759 /ug=Hs.118857 /len=517'' "
35754_at,Cluster Incl L40391:Homo sapiens (clone s153) mRNA fragment /cds=UNKNOWN /gb=L40391 /gi=887356 /ug=Hs.6445 /len=1460
40874_at,endothelial differentiation-related factor 1
38413_at,defender against cell death 1
36600_at,"proteasome (prosome, macropain) activator subunit 1 (PA28 alpha)"
33381_at,nuclear receptor coactivator 3
37425_g_at,HCR (a-helix coiled-coil rod homologue)
32525_r_at,Cluster Incl W29012:55a6 Homo sapiens cDNA /gb=W29012 /gi=1308969 /ug=Hs.7404 /len=743
1796_s_at,B-cell CLL/lymphoma 3
40594_r_at,activin A receptor type II-like 1
37085_g_at,"small inducible cytokine subfamily A (Cys-Cys), member 23"
41292_at,heterogeneous nuclear ribonucleoprotein H1 (H)
33845_at,Cluster Incl W28483:47e11 Homo sapiens cDNA /gb=W28483 /gi=1308431 /ug=Hs.238542 /len=926
37294_at,"B-cell translocation gene 1, anti-proliferative"
35648_at,KIAA0442 protein
34679_at,breakpoint cluster region
717_at,GS3955 protein
40113_at,GS3955 protein
41241_at,asparaginyl-tRNA synthetase
36002_at,KIAA1012 protein
946_at,t-complex-associated-testis-expressed 1-like 1
276_at,"heat shock protein, DNAJ-like 2"
33818_at,stomatin-like 2
32564_at," Cluster Incl AA083129:zn31a06.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-549010 /clone_end=3'' /gb=AA083129 /gi=1625248 /ug=Hs.77028 /len=574'' "
35810_at," Cluster Incl AI525393:PT1.1_07_A11.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI525393 /gi=4439528 /ug=Hs.6895 /len=811'' "
35760_at,"ATP synthase, H+ transporting, mitochondrial F1F0, subunit d"
39372_at,Cluster Incl W26480:30b8 Homo sapiens cDNA /gb=W26480 /gi=1307179 /ug=Hs.12214 /len=854
41718_g_at,flap structure-specific endonuclease 1
32190_at," Cluster Incl AL050118:Homo sapiens mRNA; cDNA DKFZp586C201 (from clone DKFZp586C201) /cds=(0,936) /gb=AL050118 /gi=4884143 /ug=Hs.184641 /len=2621 "
37981_at,drebrin 1
38012_at,fibrillin 2 (congenital contractural arachnodactyly)
35853_at,"protein kinase C, alpha binding protein"
241_g_at,spermidine synthase
39185_at,hypothetical protein 628
36204_at,"protein tyrosine phosphatase, receptor type, F"
40810_at,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
33901_at,"solute carrier family 29 (nucleoside transporters), member 1"
35292_at,HLA-B associated transcript-1
36210_g_at,bromodomain-containing 2
36209_at,bromodomain-containing 2
36208_at,bromodomain-containing 2
32658_at,"SAC2 (suppressor of actin mutations 2, yeast, homolog)-like"
35685_at,ring finger protein 1
41161_at,death-associated protein 6
40414_at,valyl-tRNA synthetase 2
40587_s_at,eukaryotic translation elongation factor 1 epsilon 1
39067_at,male-enhanced antigen
33913_at,HLA-B associated transcript-2
33838_at,HLA-B associated transcript-3
41375_at,U6 snRNA-associated Sm-like protein
410_s_at,"casein kinase 2, beta polypeptide"
41407_at,RD RNA-binding protein
40635_at,flotillin 1
32221_at,Cluster Incl AL050361:Homo sapiens mRNA; cDNA DKFZp564H0223 (from clone DKFZp564H0223) /cds=UNKNOWN /gb=AL050361 /gi=4914594 /ug=Hs.190161 /len=1608
1161_at,"heat shock 90kD protein 1, beta"
33984_at,"heat shock 90kD protein 1, beta"
36084_at,KIAA0076 gene product
39068_at,"protein phosphatase 2, regulatory subunit B (B56), delta isoform"
36131_at,megakaryocyte-enhanced gene transcript 1 protein
38621_at,megakaryocyte-enhanced gene transcript 1 protein
37000_at,DKFZP564B167 protein
33885_at,KIAA0907 protein
39010_at," Cluster Incl AI658639:tu06g05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2250296 /clone_end=3'' /gb=AI658639 /gi=4762209 /ug=Hs.111680 /len=581'' "
39012_g_at,endosulfine alpha
39011_at,endosulfine alpha
36147_at,"signal sequence receptor, beta (translocon-associated protein beta)"
32799_at,metaxin 1
38014_at,"adenosine deaminase, RNA-specific"
36962_at,"coatomer protein complex, subunit alpha"
1356_at,death associated protein 3
1311_at,"proteasome (prosome, macropain) subunit, beta type, 4"
33154_at,"proteasome (prosome, macropain) subunit, beta type, 4"
39800_s_at,HS1 binding protein
41834_g_at,jumping translocation breakpoint
41833_at,jumping translocation breakpoint
36189_at,"interleukin enhancer binding factor 2, 45kD"
33873_at,transcription factor-like 1
40890_at,metaxin 1
40774_at,"chaperonin containing TCP1, subunit 3 (gamma)"
33909_at,"splicing factor 3b, subunit 4, 49kD"
36198_at,translocase of outer mitochondrial membrane 20 (yeast) homolog
37325_at,"farnesyl diphosphate synthase (farnesyl pyrophosphate synthetase, dimethylallyltranstransferase, geranyltranstransferase)"
38997_at,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"
41454_at,Cluster Incl W27949:39h3 Homo sapiens cDNA /gb=W27949 /gi=1307897 /ug=Hs.111029 /len=735
33117_r_at," Cluster Incl AA977163:oq25a04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1587342 /clone_end=3'' /gb=AA977163 /gi=3154609 /ug=Hs.82148 /len=524'' "
33116_f_at," Cluster Incl AA977163:oq25a04.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1587342 /clone_end=3'' /gb=AA977163 /gi=3154609 /ug=Hs.82148 /len=524'' "
1940_at,v-Ki-ras2 Kirsten rat sarcoma 2 viral oncogene homolog
32521_at,secreted frizzled-related protein 1
38428_at,matrix metalloproteinase 1 (interstitial collagenase)
1104_s_at,heat shock 70kD protein 1A
31692_at,heat shock 70kD protein 1B
37554_at,"kallikrein 6 (neurosin, zyme)"
32332_at,"isocitrate dehydrogenase 2 (NADP+), mitochondrial"
39740_g_at,nascent-polypeptide-associated complex alpha polypeptide
39739_at,nascent-polypeptide-associated complex alpha polypeptide
1842_at," Oncogene Tls/Chop, Fusion Activated "
39420_at," Cluster Incl S62138:TLS/CHOP=hybrid gene {translocation breakpoint} [human, myxoid liposarcomas cells, mRNA Mutant, 1682 nt] /cds=(78,1466) /gb=S62138 /gi=386158 /ug=Hs.129913 /len=1682 "
1942_s_at,cyclin-dependent kinase 4
1903_at,Ras-Related Protein Rap1b
40146_at,"RAP1B, member of RAS oncogene family"
35759_at,"chaperonin containing TCP1, subunit 2 (beta)"
33861_at," Cluster Incl AI123426:qa49c09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1690096 /clone_end=3'' /gb=AI123426 /gi=3539192 /ug=Hs.239720 /len=613'' "
38753_at,"exportin, tRNA (nuclear export receptor for tRNAs)"
41202_s_at,conserved gene amplified in osteosarcoma
351_f_at," D28423 /FEATURE= /DEFINITION=HUMPSF82 Human mRNA for pre-mRNA splicing factor SRp20, 5''UTR (sequence from the 5''cap to the start codon) "
34305_at," Cluster Incl Z29505:H.sapiens mRNA for nucleic acid binding protein sub2.3 /cds=(85,984) /gb=Z29505 /gi=444020 /ug=Hs.2853 /len=1534 "
38590_r_at,"prothymosin, alpha (gene sequence 28)"
38589_i_at,"prothymosin, alpha (gene sequence 28)"
1100_at,interleukin-1 receptor-associated kinase 1
39175_at,"phosphofructokinase, platelet"
37037_at,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide I"
40695_at,IMP (inosine monophosphate) dehydrogenase 1
1396_at,L27560 /FEATURE=mRNA /DEFINITION=HUMIGFBP5X Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA
38650_at,Cluster Incl L27560:Human insulin-like growth factor binding protein 5 (IGFBP5) mRNA /cds=UNKNOWN /gb=L27560 /gi=452059 /ug=Hs.103391 /len=3658
35814_at,dendritic cell protein
39721_at,ephrin-B1
32716_at,"diacylglycerol kinase, alpha (80kD)"
32523_at,"clathrin, light polypeptide (Lcb)"
37920_at,paired-like homeodomain transcription factor 1
1125_s_at,CD44 antigen (homing function and Indian blood group system)
1126_s_at,CD44 antigen (homing function and Indian blood group system)
2036_s_at,CD44 antigen (homing function and Indian blood group system)
40493_at,CD44 antigen (homing function and Indian blood group system)
39799_at,fatty acid binding protein 5 (psoriasis-associated)
39389_at,CD9 antigen (p24)
752_s_at,heat shock 40kD protein 1
35298_at,"eukaryotic translation initiation factor 3, subunit 7 (zeta, 66/67kD)"
223_at,ubiquitin-conjugating enzyme E2L 3
32766_at,non-histone chromosome protein 2 (S. cerevisiae)-like 1
32151_at,Ran GTPase activating protein 1
35280_at,"laminin, gamma 2 (nicein (100kD), kalinin (105kD), BM600 (100kD), Herlitz junctional epidermolysis bullosa))"
34280_at,"gamma-aminobutyric acid (GABA) A receptor, epsilon"
1715_at,"tumor necrosis factor (ligand) superfamily, member 10"
32531_at,"gap junction protein, alpha 1, 43kD (connexin 43)"
32154_at,transcription factor AP-2 alpha (activating enhancer-binding protein 2 alpha)
36933_at,N-myc downstream regulated
757_at," D28364 /FEATURE= /DEFINITION=HUMAI23 Human mRNA for annexin II, 5''UTR (sequence from the 5''cap to the start codon) "
33454_at," Cluster Incl AF016903:Homo sapiens agrin precursor mRNA, partial cds /cds=(0,6080) /gb=AF016903 /gi=2988421 /ug=Hs.234137 /len=7032 "
38127_at,syndecan 1
34780_at,plexin B2
36890_at,periplakin
291_s_at,tumor-associated calcium signal transducer 2
33908_at,"calpain 1, (mu/I) large subunit"
33282_at,ladinin 1
38021_at,"plectin 1, intermediate filament binding protein, 500kD"
36929_at,"laminin, beta 3 (nicein (125kD), kalinin (140kD), BM600 (125kD))"
36497_at,Cluster Incl W28438:47g10 Homo sapiens cDNA /gb=W28438 /gi=1308449 /ug=Hs.57548 /len=845
406_at,X53587 /FEATURE=mRNA /DEFINITION=HSINTB4R Human mRNA for integrin beta 4
40899_at,keratin 19
41359_at,plakophilin 3
35816_at,cystatin B (stefin B)
32749_s_at,Cluster Incl AL050396:Homo sapiens mRNA; cDNA DKFZp586K1720 (from clone DKFZp586K1720) /cds=UNKNOWN /gb=AL050396 /gi=4914618 /ug=Hs.195464 /len=3983
39738_at,"myosin, heavy polypeptide 9, non-muscle"
39416_at,Tax interaction protein 1
38138_at,S100 calcium-binding protein A11 (calgizzarin)
32806_at,benzodiazapine receptor (peripheral)
769_s_at,annexin A2
31444_s_at,annexin A2 pseudogene 2
1718_at," U50523 /FEATURE= /DEFINITION=HSU50523 Human BRCA2 region, mRNA sequence CG037 "
41504_s_at,v-maf musculoaponeurotic fibrosarcoma (avian) oncogene homolog
37281_at,KIAA0233 gene product
38075_at,synaptophysin-like protein
